Catalog_ID,Title,Description,Creation_Date,Language,License,Web_Page,Data_Scientia,Dataset,Person
Catalog_1,Live Data,"a web page collector of data resources, such as the actual datasets, pointing at actual data values.",2022,EN,CC-BY 4.0,https://ds.datascientia.eu/catalog/livedata/home,https://ds.datascientia.eu,Dataset_S_1,Person_0
Catalog_1,Live Data,"a web page collector of data resources, such as the actual datasets, pointing at actual data values.",2022,EN,CC-BY 4.0,https://ds.datascientia.eu/catalog/livedata/home,https://ds.datascientia.eu,Dataset_S_2,Person_0
Catalog_1,Live Data,"a web page collector of data resources, such as the actual datasets, pointing at actual data values.",2022,EN,CC-BY 4.0,https://ds.datascientia.eu/catalog/livedata/home,https://ds.datascientia.eu,Dataset_S_3,Person_0
Catalog_1,Live Data,"a web page collector of data resources, such as the actual datasets, pointing at actual data values.",2022,EN,CC-BY 4.0,https://ds.datascientia.eu/catalog/livedata/home,https://ds.datascientia.eu,Dataset_S_4,Person_0
Catalog_2,Live Knowledge," a web page catalog, containing all knowledge base resources.",2022,EN,CC-BY 4.0,https://ds.datascientia.eu/catalog/liveknowledge/home,https://ds.datascientia.eu,Dataset_S_5,Person_0
Catalog_4,Live People,"a web page collector of diachronic data about the everyday life of university students over a period of time, and also additional synchronic data about profile, e.g., demographics, routines, personality.",2022,EN,CC-BY 4.0,https://livepeople.datascientia.eu/home,https://ds.datascientia.eu,Dataset_C_7,Person_0
Catalog_4,Live People,"a web page collector of diachronic data about the everyday life of university students over a period of time, and also additional synchronic data about profile, e.g., demographics, routines, personality.",2022,EN,CC-BY 4.0,https://livepeople.datascientia.eu/home,https://ds.datascientia.eu,Dataset_C_8,Person_0
Catalog_2,Live Knowledge," a web page catalog, containing all knowledge base resources.",2022,EN,CC-BY 4.0,https://ds.datascientia.eu/catalog/liveknowledge/home,https://ds.datascientia.eu,Dataset_S_9,Person_0
Catalog_1,Live Data,"a web page collector of data resources, such as the actual datasets, pointing at actual data values.",2022,EN,CC-BY 4.0,https://ds.datascientia.eu/catalog/livedata/home,https://ds.datascientia.eu,Dataset_S_10,Person_0
Catalog_2,Live Knowledge," a web page catalog, containing all knowledge base resources.",2022,EN,CC-BY 4.0,https://ds.datascientia.eu/catalog/liveknowledge/home,https://ds.datascientia.eu,Dataset_S_11,Person_0
Catalog_3,Live Language, a web page storage unit for projects' language layers.,2022,EN,CC-BY 4.0,https://livelanguage.datascientia.eu/home,https://ds.datascientia.eu,,Person_0