Web_Page,Catalog,Person,Project
https://ds.datascientia.eu,,Person_1,
https://ds.datascientia.eu,,Person_2,
https://ds.datascientia.eu,,Person_3,KGE_P_1
https://ds.datascientia.eu,,Person_4,KGE_P_1
https://ds.datascientia.eu,Catalog_1,Person_5,
https://ds.datascientia.eu,Catalog_1,Person_6,
https://ds.datascientia.eu,Catalog_2,Person_7,
https://ds.datascientia.eu,Catalog_4,Person_8,STD_P_1
https://ds.datascientia.eu,,Person_9,
https://ds.datascientia.eu,Catalog_4,Person_10,STD_P_1
https://ds.datascientia.eu,Catalog_4,Person_11,STD_P_1
https://ds.datascientia.eu,Catalog_4,Person_12,STD_P_1
https://ds.datascientia.eu,Catalog_4,Person_13,STD_P_1
https://ds.datascientia.eu,Catalog_4,Person_14,STD_P_1
https://ds.datascientia.eu,Catalog_4,Person_15,STD_P_1
https://ds.datascientia.eu,Catalog_4,Person_16,STD_P_1
https://ds.datascientia.eu,,Person_17,APP_P_1
https://ds.datascientia.eu,,Person_18,APP_P_1