Person_ID,First_Name,Last_Name,Affiliation,Contact,Partner,People Layer,Maintained_Project
1,Carlo,Corradini,University of Trento (IT),Contact_1,F,http://datascientia/livepeople/1,Project_1
2,Giorgio,Criscitelli,GlaxoSmithKline SpA (IT),Contact_2,F,url_LP_2,Project_2
3,Anna,Fetz,University of Trento (IT),Contact_3,F,url_LP_3,Project_3
4,Carlotta,Neri,University of Trento (IT),Contact_5,F,url_LP_4,Project_5
6,Fausto,Giunchiglia,University of Trento (IT),Contact_7,T,url_LP_6,Project_0
7,Laura,Riscica,University of Trento (IT),Contact_8,F,url_LP_7,Project_6
12,Ali,Hamza,University of Trento (IT),Contact_13,F,url_LP_12,Project_7
13,Andre,Frigo,University of Trento (IT),Contact_14,F,url_LP_13,Project_8
14,Aleksa,Krsmanovic,University of Trento (IT),Contact_15,F,url_LP_14,Project_9
16,Xuanli,Li,University of Trento (TN),Contact_17,F,url_LP_16,Project_1
17,Yanchun ,Liang,Jilin University (CN),Contact_18,T,url_LP_17,Project_0
19,Luca,Cernuzzi,Universidad Católica Nuestra Señora de la Asunción (PY),Contact_20,T,url_LP_19,Project_0
20,Alethia ,Hume,Universidad Católica Nuestra Señora de la Asunción (PY),Contact_21,T,url_LP_20,Project_0
22,Amarsanaa ,Ganbold,National University of Mongolia (MN),Contact_23,T,url_LP_22,Project_0
23,Shyam ,Diwakar,Amrita University (IN),Contact_24,T,url_LP_23,Project_0
24,Fiona ,McNeill,Heriot-Watt University,Contact_25,T,url_LP_24,Project_0
28,Khuyagbaatar ,Batsuren,University of Trento (IT),Contact_29,T,url_LP_28,Project_12
29,Gabor ,Bella,University of Trento (IT),Contact_30,T,url_LP_29,Project_11
30,Ronald Chenu-Abente,Acosta,University of Trento (IT),Contact_31,T,url_LP_30,Project_10
31,Mattia,Zeni,University of Trento (IT),Contact_32,T,url_LP_31,Project_13
41,Alessandra,Morellini,University of Trento (IT),Contact_42,F,url_LP_41,Project_0